,Merchant ID,Product ID,Category,Sub-Category,Product Name
0,CA-2016-152156,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
1,CA-2016-152156,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
2,CA-2016-138688,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
3,US-2015-108966,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
4,US-2015-108966,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
5,CA-2014-115812,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
6,CA-2014-115812,OFF-AR-10002833,Office Supplies,Art,Newell 322
7,CA-2014-115812,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
8,CA-2014-115812,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
9,CA-2014-115812,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
10,CA-2014-115812,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
11,CA-2014-115812,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black
12,CA-2017-114412,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
13,CA-2016-161389,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
14,US-2015-118983,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
15,US-2015-118983,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
16,CA-2014-105893,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
17,CA-2014-167164,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
18,CA-2014-143336,OFF-AR-10003056,Office Supplies,Art,Newell 341
19,CA-2014-143336,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
20,CA-2014-143336,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
21,CA-2016-137330,OFF-AR-10000246,Office Supplies,Art,Newell 318
22,CA-2016-137330,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
23,US-2017-156909,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
24,CA-2015-106320,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
25,CA-2016-121755,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
26,CA-2016-121755,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
27,US-2015-150630,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
28,US-2015-150630,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
29,US-2015-150630,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
30,US-2015-150630,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
31,US-2015-150630,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
32,US-2015-150630,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
33,US-2015-150630,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
34,CA-2017-107727,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper
35,CA-2016-117590,TEC-PH-10004977,Technology,Phones,GE 30524EE4
36,CA-2016-117590,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
37,CA-2015-117415,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
38,CA-2015-117415,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
39,CA-2015-117415,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
40,CA-2015-117415,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
41,CA-2017-120999,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
42,CA-2016-101343,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
43,CA-2017-139619,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
44,CA-2016-118255,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
45,CA-2016-118255,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
46,CA-2014-146703,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
47,CA-2016-169194,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
48,CA-2016-169194,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
49,CA-2015-115742,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
50,CA-2015-115742,OFF-LA-10002762,Office Supplies,Labels,Avery 485
51,CA-2015-115742,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
52,CA-2015-115742,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
53,CA-2016-105816,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
54,CA-2016-105816,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
55,CA-2016-111682,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
56,CA-2016-111682,OFF-PA-10001569,Office Supplies,Paper,Xerox 232
57,CA-2016-111682,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
58,CA-2016-111682,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
59,CA-2016-111682,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
60,CA-2016-111682,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
61,CA-2016-111682,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
62,CA-2015-135545,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
63,CA-2015-135545,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
64,CA-2015-135545,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
65,CA-2015-135545,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
66,US-2015-164175,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
67,CA-2014-106376,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
68,CA-2014-106376,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
69,CA-2016-119823,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
70,CA-2016-106075,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
71,CA-2017-114440,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
72,US-2015-134026,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
73,US-2015-134026,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
